feature,smd_before,smd_after,abs_smd_before,abs_smd_after
Diagnosis_Category = DX08,0.020565974555505802,0.05966645238548739,0.020565974555505802,0.05966645238548739
Diagnosis_Category = DX13,0.0204789966971866,0.06077309514981995,0.0204789966971866,0.06077309514981995
Dim_Patient.Gender = Female,-0.020456944336052437,0.004189650415604429,0.020456944336052437,0.004189650415604429
Hospital_ID = H01,0.019718166741200496,-0.013136529065521133,0.019718166741200496,0.013136529065521133
Hospital_ID = H08,-0.019027815910332715,0.03051493896605465,0.019027815910332715,0.03051493896605465
Department_ID = D06,0.019010223763679324,0.02912923172446891,0.019010223763679324,0.02912923172446891
Hospital_ID = H07,-0.017407567424551247,-0.006914149601707208,0.017407567424551247,0.006914149601707208
Hospital_ID = H02,0.016120825959247576,0.0005700111705561256,0.016120825959247576,0.0005700111705561256
Dim_Patient.Age,0.01563701712744799,-0.06178628576752515,0.01563701712744799,0.06178628576752515
Department_ID = D07,-0.01353882837678811,0.008762383012042303,0.01353882837678811,0.008762383012042303
Admission_Type = Transfer,-0.01193557993988753,0.015760089068402976,0.01193557993988753,0.015760089068402976
Diagnosis_Category = DX06,-0.00901540266998129,-0.03341162027736102,0.00901540266998129,0.03341162027736102
Admission_Type = Urgent,-0.00712438050972605,-0.029201966496537914,0.00712438050972605,0.029201966496537914
Diagnosis_Category = DX07,0.005912831245282284,-0.0007145711252888981,0.005912831245282284,0.0007145711252888981
Dim_Patient.DM2 = False,-0.005700667486905132,-0.06606554603992924,0.005700667486905132,0.06606554603992924
Dim_Patient.DM2 = True,0.005700667486905132,0.06606554603993026,0.005700667486905132,0.06606554603993026
Dim_Patient.COPD = False,0.005494713672025599,-0.008503612205708956,0.005494713672025599,0.008503612205708956
Dim_Patient.COPD = True,-0.005494713672025434,0.008503612205709122,0.005494713672025434,0.008503612205709122
Diagnosis_Category = DX02,-0.005314731540692572,-0.023138956171249128,0.005314731540692572,0.023138956171249128
Dim_Patient.Depression = True,0.004174971328382298,0.0012604450542088425,0.004174971328382298,0.0012604450542088425
Dim_Patient.Depression = False,-0.004174971328382126,-0.0012604450542084069,0.004174971328382126,0.0012604450542084069
Department_ID = D03,0.00339235479735204,0.04430531840264604,0.00339235479735204,0.04430531840264604
Diagnosis_Category = DX14,0.003217055801196621,0.0023842327194267534,0.003217055801196621,0.0023842327194267534
Diagnosis_Category = DX09,0.003185589623639708,-0.0290106693126396,0.003185589623639708,0.0290106693126396
Diagnosis_Category = DX10,-0.0020292251327797416,-0.018533975648446086,0.0020292251327797416,0.018533975648446086
Hospital_ID = H06,-0.001967872562689137,-0.029557583333966145,0.001967872562689137,0.029557583333966145
Department_ID = D11,-0.0007787683595834727,-0.10034730058177782,0.0007787683595834727,0.10034730058177782
